T1 Time (ms),T1 Amplitude (V),T1 Amp - 320mv ,T2 Time (ms) DT:1,T2 Amplitude (V) NP:50,T2 Amp - 320mv
1.00,-8.64,-8.96,0.8,9.68,9.36
3,-7.04,-7.36,4.8,8.00,7.68
5,-5.44,-5.76,8.8,6.48,6.16
7,-4.00,-4.32,12.8,5.28,4.96
10,-2.16,-2.48,16.8,4.32,4
20,4.00,3.68,20.8,3.60,3.28
30,6.40,6.08,24.8,3.04,2.72
40,7.76,7.44,28.8,2.64,2.32
50,8.64,8.32,32.8,2.24,1.92
60,9.04,8.72,36.8,1.84,1.52
70,9.28,8.96,40.8,1.60,1.28
80,9.44,9.12,44.8,1.28,0.96
90,9.52,9.2,48.8,1.04,0.72
100,9.52,9.20,,,
