0.005t,0.005A,0.01t,0.01A,0.05t,0.05A,0.1t,0.1A,0.2t,0.2A,0.5t,0.5A,1t,1A
4,8.00,4,8.24,0.8,9.36,0.8,8.48,0.2,7.20,0.2,7.20,0.28,6.00
20,7.20,20,7.10,4.8,7.68,2.4,6.64,0.7,6.64,0.7,6.64,0.48,4.76
36,6.56,36,5.60,8.8,6.16,4.0,5.52,1.1,6.08,1.1,6.08,0.68,3.68
52,5.60,52,4.88,12.8,4.96,5.6,4.64,1.5,5.52,1.5,5.52,0.88,2.92
68,4.88,68,4.08,16.8,4,7.2,4,2.0,5.04,2.0,5.04,1.12,2.24
84,4.72,84,3.44,20.8,3.28,8.8,3.35,2.5,4.72,2.5,4.72,1.28,1.76
100,4.16,100,2.88,24.8,2.72,10.4,2.88,2.8,4.4,2.8,4.4,1.48,1.36
116,3.68,116,2.48,28.8,2.32,12,2.40,3.3,4.00,3.3,4.00,1.68,0.96
132,3.20,132,3.00,32.8,1.92,13.6,2.08,3.8,3.76,3.8,3.76,1.88,0.60
148,3.04,148,1.60,36.8,1.52,15.2,1.76,4.2,3.36,4.2,3.36,2.08,0.44
164,2.80,164,1.44,40.8,1.28,16.8,1.52,4.6,3.12,4.6,3.12,2.28,0.12
180,2.48,180,1.12,44.8,0.96,18.4,1.28,5.1,2.88,5.1,2.88,,
196,2.32,196,1.04,48.8,0.72,20,1.12,5.5,2.72,5.5,2.72,,
212,2.00,212,0.72,,,21.6,0.80,5.9,2.48,5.9,2.48,,
