T1 Time (ms),T1 Amplitude (V),T1 Amp - 320mv ,T2 Time (ms) DT:0.8,T2 Amplitude (V) NP:50,T2 Amp - 320mv
1.00,-5.28,-5.6,0.2,7.52,7.20
1.5,-4.16,-4.48,0.7,6.96,6.64
2,-3.04,-3.36,1.1,6.40,6.08
2.5,-2.24,-2.56,1.5,5.84,5.52
3,-1.04,-1.36,2.0,5.36,5.04
4,1.6,1.28,2.5,5.04,4.72
5,2.88,2.56,2.8,4.72,4.4
6,3.92,3.6,3.3,4.32,4.00
7,4.56,4.24,3.8,4.08,3.76
8,5.28,4.96,4.2,3.68,3.36
9,5.68,5.36,4.6,3.44,3.12
10,6.08,5.76,5.1,3.20,2.88
11,6.48,6.16,5.5,3.04,2.72
12,6.56,6.24,5.9,2.80,2.48
