T1 Time (ms),T1 Amplitude (V),T1 Amp - 320mv ,T2 Time (ms) DT:0.8,T2 Amplitude (V) NP:50,T2 Amp - 320mv
0.10,-5.44,-5.76,0.06,5.92,5.60
0.2,-5.12,-5.44,0.18,5.56,5.24
0.4,-4.08,-4.4,0.3,5.40,5.08
0.6,-3.04,-3.36,0.42,5.12,4.80
0.8,-2.16,-2.48,0.54,4.72,4.4
1,-1.2,-1.52,0.66,4.44,4.12
2,2.96,2.64,0.8,4.16,3.84
3,4.32,4,0.9,3.88,3.56
4,5.12,4.8,1.02,3.64,3.32
5,5.68,5.36,1.14,3.44,3.12
6,5.84,5.52,1.3,3.2,2.88
7,6.08,5.76,1.38,3.04,2.72
8,6.16,5.84,1.5,2.88,2.56
,,,1.62,2.68,2.36
