T1 Time (ms),T1 Amplitude (V),T1 Amp - 320mv ,T2 Time (ms) DT:4,T2 Amplitude (V) NP:50,T2 Amp - 320mv
1.00,-8.72,-9.04,4,8.32,8.00
10,-7.76,-8.08,20,7.52,7.20
20,-6.96,-7.28,36,6.88,6.56
30,-6.08,-6.4,52,5.92,5.60
40,-5.28,-5.6,68,5.2,4.88
50,-4.48,-4.8,84,5.04,4.72
60,-3.76,-4.08,100,4.48,4.16
70,-3.04,-3.36,116,4.00,3.68
80,-2.32,-2.64,132,3.52,3.20
90,-1.68,-2,148,3.36,3.04
100,-0.80,-1.12,164,3.12,2.80
110,-0.52,-0.84,180,2.80,2.48
,,,196,2.64,2.32
,,,212,2.32,2.00
