temp,volt0,volt8
87.5,0.12,0.15
88,0.15,0.25
88.5,0.17,0.37
89,0.25,0.54
89.5,0.48,1.08
90,0.95,1.87
90.5,1.87,2.82
91,2.95,3.46
91.5,3.73,3.88
92,4,4.08
92.5,4.18,4.12
93,4.21,4.22
94,4.29,4.3
95,4.43,4.4
